OBJECTID,NAME,WARD,DATASOURCE,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,TOTPOP10,TOTPOP_CY,POP0_CY,POP5_CY,POP10_CY,POP15_CY,POP20_CY,POP25_CY,POP30_CY,POP35_CY,POP40_CY,POP45_CY,POP50_CY,POP55_CY,POP60_CY,POP65_CY,POP70_CY,POP75_CY,POP80_CY,POP85_CY,POP18UP_CY,MEDAGE_CY,MEDMAGE_CY,MEDFAGE_CY,POP0C10,POP5C10,POP10C10,POP15C10,POP25C10,POP30C10,POP35C10,POP40C10,POP45C10,POP50C10,POP55C10,POP60C10,POP65C10,POP70C10,POP75C10,POP80C10,POP85C10,ADULTS10,POP21UP10,MEDAGE10,MEDMAGE10,MEDFAGE10
1,A Mountain,1,NEIGHBORHOODS,0,US,1,BlockApportionment:US.BlockGroups,2.191,2.576,1,3342,3448,339,281,235,265,415,454,288,181,160,161,145,146,126,98,67,35,29,23,2447,27.1,26.6,27.6,319,296,295,337,265,224,213,183,194,184,145,113,56,57,35,28,20,2247,2021,25.9,24.9,26.8
2,Adelanto,3,NEIGHBORHOODS,1,US,2,BlockApportionment:US.BlockGroups,2.191,2.576,1,373,389,42,38,38,38,34,32,25,20,19,19,18,18,14,13,9,5,3,4,250,25.7,25,26.6,42,34,38,40,23,22,21,21,22,17,17,13,9,6,7,6,4,236,212,25.3,24.1,26.9
3,Alvernon Heights,5,NEIGHBORHOODS,2,US,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,304,320,28,27,25,26,26,32,25,21,17,19,15,16,15,10,7,5,3,3,225,29.4,28.7,30.2,27,29,24,29,25,19,23,16,18,18,14,10,8,6,4,4,2,207,190,28.1,26.9,29.6
4,Amphi,3,NEIGHBORHOODS,3,US,4,BlockApportionment:US.BlockGroups,2.191,2.576,1,7461,7464,637,533,459,498,749,850,647,493,403,420,420,390,345,248,164,100,61,45,5575,30,30,30.1,693,545,470,612,664,569,480,498,503,460,386,245,156,119,75,49,36,5431,4953,28.8,29,28.7
5,Armory Park,6,NEIGHBORHOODS,4,US,5,BlockApportionment:US.BlockGroups,2.191,2.576,1,1814,1924,66,67,56,58,119,209,206,172,121,117,103,114,126,114,110,67,55,45,1707,40.4,41,39.7,67,62,42,57,230,167,148,112,108,115,131,104,93,66,54,46,37,1616,1564,38.6,39.2,37.8
6,Arroyo Chico,5,NEIGHBORHOODS,5,US,6,BlockApportionment:US.BlockGroups,2.191,2.576,1,2916,3009,152,143,132,172,228,269,216,208,175,187,187,203,202,165,133,89,60,87,2489,39.6,38,41.6,158,153,149,203,229,201,193,183,185,213,209,153,115,90,70,83,85,2344,2205,38.1,36.1,40
7,Avondale,6,NEIGHBORHOODS,6,US,7,BlockApportionment:US.BlockGroups,2.191,2.576,1,1522,1636,85,74,71,102,108,136,103,90,97,86,102,124,131,112,79,46,37,53,1342,42.5,39.9,46.1,92,72,64,111,105,105,82,103,111,125,125,105,51,43,46,41,34,1223,1165,41.1,37.9,44.9
8,Balboa Heights,3,NEIGHBORHOODS,7,US,8,BlockApportionment:US.BlockGroups,2.191,2.576,1,1363,1546,121,106,101,96,152,168,136,102,92,85,93,90,75,49,41,22,8,8,1163,31,31.8,30.1,123,100,84,102,120,109,92,90,97,94,62,49,34,13,10,6,5,1014,916,29.2,29.8,28.4
9,Barrio Anita,1,NEIGHBORHOODS,8,US,9,BlockApportionment:US.BlockGroups,2.191,2.576,1,389,372,23,18,17,26,40,48,33,24,23,26,18,15,17,20,10,9,3,3,299,32.2,31.6,33.4,22,28,24,34,36,29,33,21,19,20,31,13,15,7,3,5,3,294,273,30.9,29.6,32.5
10,Barrio Blue Moon,3,NEIGHBORHOODS,9,US,10,BlockApportionment:US.BlockGroups,2.191,2.576,1,1004,956,44,38,36,77,110,63,58,40,56,60,58,74,77,70,42,29,10,12,816,41,39.4,43.1,49,48,45,96,56,57,48,64,68,69,83,68,54,30,22,11,10,832,728,37.7,36.4,38.8
