OBJECTID,NAME,WARD,DATASOURCE,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,ACSTOTPOP,OCCBASE_CY,OCCMGMT_CY,OCCBUS_CY,OCCCOMP_CY,OCCARCH_CY,OCCSSCI_CY,OCCSSRV_CY,OCCLEGL_CY,OCCEDUC_CY,OCCENT_CY,OCCHTCH_CY,OCCHLTH_CY,OCCPROT_CY,OCCFOOD_CY,OCCBLDG_CY,OCCPERS_CY,OCCSALE_CY,OCCADMN_CY,OCCFARM_CY,OCCCONS_CY,OCCMAIN_CY,OCCPROD_CY,OCCTRAN_CY,CIVLBFR_CY,EMP_CY,INDBASE_CY,INDAGRI_CY,INDMIN_CY,INDCONS_CY,INDMANU_CY,INDWHTR_CY,INDRTTR_CY,INDTRAN_CY,INDUTIL_CY,INDINFO_CY,INDFIN_CY,INDRE_CY,INDTECH_CY,INDMGMT_CY,INDADMN_CY,INDEDUC_CY,INDHLTH_CY,INDARTS_CY,INDFOOD_CY,INDOTSV_CY,INDPUBL_CY,UNEMP_CY,UNEMPRT_CY,ACSCIVPOP,ACSVET,ACSNONVET
1,A Mountain,1,NEIGHBORHOODS,0,US,1,BlockApportionment:US.BlockGroups,2.191,2.576,1,2924,1320,20,58,0,0,0,10,0,70,32,46,0,147,246,65,0,84,324,0,99,0,56,63,1563,1320,1320,0,0,38,36,40,103,77,0,0,55,11,63,0,123,88,137,58,229,101,161,243,15.5,2412,113,2299
2,Adelanto,3,NEIGHBORHOODS,1,US,2,BlockApportionment:US.BlockGroups,2.191,2.576,1,419,112,1,5,1,0,0,2,0,5,2,3,0,5,21,17,0,2,7,2,18,7,9,6,131,112,112,3,2,19,0,0,5,3,2,3,1,0,2,0,15,7,10,1,26,10,3,18,13.8,269,8,261
3,Alvernon Heights,5,NEIGHBORHOODS,2,US,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,332,125,9,0,0,0,0,0,0,15,0,2,9,0,14,10,5,33,2,0,0,0,8,18,156,125,125,2,0,0,6,5,24,0,0,3,9,0,0,0,3,13,8,10,33,8,0,31,19.9,233,7,226
4,Amphi,3,NEIGHBORHOODS,3,US,4,BlockApportionment:US.BlockGroups,2.191,2.576,1,7837,3360,155,46,56,35,19,24,5,120,43,181,76,51,311,366,139,445,463,7,215,98,228,278,3691,3360,3360,6,0,352,190,61,481,151,9,10,46,66,84,0,284,226,409,31,638,205,113,330,8.9,5753,339,5414
5,Armory Park,6,NEIGHBORHOODS,4,US,5,BlockApportionment:US.BlockGroups,2.191,2.576,1,1944,1079,87,33,22,21,28,39,37,193,49,70,3,19,106,50,37,65,135,2,37,17,10,19,1105,1079,1079,7,2,26,43,8,54,19,7,29,26,35,114,0,61,233,166,21,120,37,71,26,2.4,1685,111,1574
6,Arroyo Chico,5,NEIGHBORHOODS,5,US,6,BlockApportionment:US.BlockGroups,2.191,2.576,1,3125,1400,193,60,14,38,21,9,11,73,6,44,34,46,147,83,33,128,195,18,96,26,65,58,1455,1400,1400,15,0,154,109,6,124,25,24,23,29,0,70,0,127,107,252,30,161,97,49,54,3.7,2532,208,2324
7,Avondale,6,NEIGHBORHOODS,6,US,7,BlockApportionment:US.BlockGroups,2.191,2.576,1,1373,595,8,51,15,0,10,44,0,32,0,33,34,0,50,61,9,67,35,0,46,9,21,69,688,595,595,0,0,28,27,0,81,22,0,19,0,13,47,0,24,63,134,0,90,36,12,93,13.5,1141,186,955
8,Balboa Heights,3,NEIGHBORHOODS,7,US,8,BlockApportionment:US.BlockGroups,2.191,2.576,1,1665,755,11,21,0,0,13,0,0,24,3,0,28,88,155,29,11,104,68,0,65,14,56,64,877,755,755,0,0,73,4,54,94,13,11,0,17,12,13,0,44,49,90,10,164,21,85,122,13.9,1325,105,1220
9,Barrio Anita,1,NEIGHBORHOODS,8,US,9,BlockApportionment:US.BlockGroups,2.191,2.576,1,316,207,21,13,14,1,7,2,11,24,10,6,0,6,14,16,2,13,20,0,13,1,3,10,220,207,207,0,0,15,6,3,20,7,0,3,10,2,19,0,21,30,11,14,31,2,13,14,6.3,265,3,262
10,Barrio Blue Moon,3,NEIGHBORHOODS,9,US,10,BlockApportionment:US.BlockGroups,2.191,2.576,1,718,389,12,8,8,1,4,2,6,16,12,4,0,19,72,70,15,24,68,0,27,7,3,11,421,389,389,0,0,20,14,2,26,10,0,8,7,3,11,0,16,20,69,13,136,10,25,31,7.4,633,12,620
11,Barrio Centro,5,NEIGHBORHOODS,10,US,11,BlockApportionment:US.BlockGroups,2.191,2.576,1,1385,556,6,40,4,0,7,0,0,40,0,18,7,24,31,23,27,39,136,32,28,31,10,54,626,556,556,27,0,110,13,0,77,8,0,5,36,0,0,0,32,58,46,18,98,17,12,70,11.2,1063,31,1032
12,Barrio Hollywood,1,NEIGHBORHOODS,11,US,12,BlockApportionment:US.BlockGroups,2.191,2.576,1,2692,1117,42,27,4,8,0,22,16,92,19,53,65,30,74,109,44,129,119,0,109,23,69,63,1269,1117,1117,0,8,175,37,18,137,35,0,28,13,4,48,0,86,118,206,3,82,56,63,152,12,2042,141,1901
13,Barrio San Antonio,5,NEIGHBORHOODS,12,US,13,BlockApportionment:US.BlockGroups,2.191,2.576,1,272,167,15,9,4,7,2,13,8,26,5,9,0,5,13,5,7,8,11,1,8,4,3,3,169,167,167,3,0,7,2,0,11,3,0,2,6,1,23,0,10,37,32,1,13,8,9,2,1.2,245,18,227
14,Barrio Santa Rosa,5,NEIGHBORHOODS,13,US,14,BlockApportionment:US.BlockGroups,2.191,2.576,1,944,517,28,6,5,6,4,4,6,63,11,28,6,19,44,85,15,24,72,1,26,21,16,27,566,517,517,1,1,35,10,6,66,10,1,14,5,9,23,0,48,55,79,10,70,37,38,48,8.5,647,39,608
15,Barrio Viejo,6,NEIGHBORHOODS,14,US,15,BlockApportionment:US.BlockGroups,2.191,2.576,1,777,442,47,8,4,0,9,14,9,77,11,29,12,5,29,10,27,47,49,4,31,5,5,12,464,442,442,3,3,26,9,3,18,17,4,24,5,18,26,0,12,93,56,22,43,11,49,23,4.9,632,40,593
16,Bear Canyon,2,NEIGHBORHOODS,15,US,16,BlockApportionment:US.BlockGroups,2.191,2.576,1,2626,1104,156,79,73,35,13,6,59,88,4,115,17,54,46,17,45,79,123,0,30,19,18,26,1163,1104,1104,14,0,52,108,39,65,9,0,16,39,78,233,8,21,75,170,37,60,33,46,59,5.1,2040,203,1837
17,Blenman-Elm,6,NEIGHBORHOODS,16,US,17,BlockApportionment:US.BlockGroups,2.191,2.576,1,3252,1586,150,68,111,33,43,25,66,238,29,134,24,59,141,45,21,222,91,0,12,11,24,39,1686,1586,1586,16,2,22,72,14,197,58,2,1,5,39,225,0,51,374,223,27,153,22,83,100,5.9,2747,240,2507
18,Broadmoor-Broadway,6,NEIGHBORHOODS,17,US,18,BlockApportionment:US.BlockGroups,2.191,2.576,1,925,397,73,45,19,1,25,13,16,17,9,26,2,0,12,1,0,47,51,0,0,1,17,22,397,397,397,0,0,24,50,16,30,11,0,16,0,2,38,0,0,50,118,17,12,0,13,1,0.3,810,31,779
19,Broadway/Northeast,2,NEIGHBORHOODS,18,US,19,BlockApportionment:US.BlockGroups,2.191,2.576,1,744,330,44,12,9,2,0,21,0,48,0,35,5,0,0,26,0,22,89,0,0,1,17,0,352,330,330,0,0,0,21,0,38,0,20,3,15,9,21,0,54,44,73,0,9,2,21,21,6,577,66,511
20,Campbell-Grant,3,NEIGHBORHOODS,19,US,20,BlockApportionment:US.BlockGroups,2.191,2.576,1,934,660,43,34,14,3,7,12,5,87,13,67,14,2,64,41,10,35,78,0,62,15,23,32,733,660,660,1,0,66,39,15,48,14,0,5,54,3,56,0,37,126,132,8,41,10,3,73,10,803,54,749
