"Age Group","Population (Male)","Population (Female)","Gender Ratio"
"Under 5 years","15,111","14,344",1.05
"5 to 9 years","14,876","15,958",0.93
"10 to 14 years","16,396","14,173",1.16
"15 to 19 years","20,379","20,871",0.98
"20 to 24 years","32,231","30,472",1.06
"25 to 29 years","24,305","21,888",1.11
"30 to 34 years","20,714","17,373",1.19
"35 to 39 years","17,698","17,179",1.03
"40 to 44 years","15,645","15,217",1.03
"45 to 49 years","14,357","14,507",0.99
"50 to 54 years","13,727","13,592",1.01
"55 to 59 years","14,514","14,238",1.02
"60 to 64 years","13,472","15,649",0.86
"65 to 69 years","12,298","14,799",0.83
"70 to 74 years","9,000","10,434",0.86
"75 to 79 years","6,423","8,534",0.75
"80 to 84 years","4,364","6,064",0.72
"85 years and over","3,412","6,819",0.50
